TCP_session_count, serverIP, clientIP, serverPort, clientPort, num_of_packetSent(server->client), TotalIPtrafficBytesSent(server->client), TotaluserTrafficBytesSent(server->client), sessionDuration, bps_IPlayerThroughput(server->client), bps_Goodput(server->client)
==================================================================================================================================
7	10.168.207.108	192.11.68.196	80	38470	1090	21201313	20584471	4.74833	4465006.02564	4465006.02564
7	10.168.207.108	192.11.68.196	80	38470	0	21201313	20584471	4.74873	4464630.98278	4464630.98278
7	10.168.207.109	192.11.68.196	80	38471	1144	22312122	21663771	7.03902	3169776.83837	3169776.83837
7	10.168.207.109	192.11.68.196	80	38471	0	22312122	21663771	7.03925	3169674.63163	3169674.63163
8	10.168.207.106	192.11.68.196	80	38477	2207	24366460	23656914	1.57318	15488676.04903	15488676.04903
8	10.168.207.106	192.11.68.196	80	38477	0	24366460	23656914	1.57341	15486432.31578	15486432.31578
8	10.168.207.107	192.11.68.196	80	38479	2309	26588678	25815542	4.79494	5545157.02296	5545157.02296
8	10.168.207.107	192.11.68.196	80	38479	0	26588678	25815542	4.79518	5544871.38992	5544871.38992
8	10.168.207.108	192.11.68.196	80	38481	2272	28758767	27921981	7.27906	3950889.63917	3950889.63917
8	10.168.207.108	192.11.68.196	80	38481	0	28758767	27921981	7.27945	3950676.38703	3950676.38703
8	10.168.207.109	192.11.68.196	80	38499	2278	30979388	30079788	10.88792	2845297.97649	2845297.97649
8	10.168.207.109	192.11.68.196	80	38499	0	30979388	30079788	10.88832	2845194.99009	2845194.99009
